model,skew,girderName,L,D,w_oh,ts,S,Nb,Kg,n_bm1,n_bm2,n_bm3,n_bm4,n_r1,n_r2,n_r3,n_r4,sum_RY,d-G1,d-G2,d-G3,d-G4
Tx28-L_42-Nb_4-S_60-O_15-ts_85,0,Tx28,42,28,1.5,8.5,6,4,555508.7064,0.5540595238090805,0.2934206821615188,0.080095049,0.000520232,0.925505487,0.086993513,0.026596386,-0.039094549,3.51562164055963e-05,0.03736968,0.016730083,0.00455699,-1.19E-34
Tx28-L_42-Nb_4-S_60-O_15-ts_100,0,Tx28,42,28,1.5,10,6,4,588747.3095,0.534036565,0.29824884259235396,0.091274211,0.000889465,0.9238534226183086,0.093144427,0.036185085,-0.053182094,3.527828670968347e-05,0.032402616,0.015337522,0.004701153,-1.62E-34
Tx28-L_42-Nb_4-S_60-O_20-ts_85,0,Tx28,42,28,2,8.5,6,4,555508.7064,0.5860169595611335,0.2791875472408953,0.069519936,0.00044846,0.9935684523801575,0.023006279354985313,0.024837068,-0.041411078,3.0334439045986983e-05,0.037897844,0.015815515,0.003978223,-1.26E-34
Tx28-L_42-Nb_4-S_60-O_20-ts_100,0,Tx28,42,28,2,10,6,4,588747.3095,0.5638020597123229,0.2865410997730134,0.081042706,0.000802998,0.9916916852670637,0.03100125,0.033527233,-0.056219285,3.515621639138544e-05,0.032798938,0.014651419,0.004198644,-1.72E-34
Tx28-L_42-Nb_4-S_60-O_25-ts_85,0,Tx28,42,28,2.5,8.5,6,4,555508.7064,0.6177043650788708,0.265168462,0.058977525,0.000379073,1.0609843749991512,-0.039607268,0.022208935,-0.043585176,3.637691952462774e-05,0.038520928,0.014924473,0.003400046,-1.33E-34
Tx28-L_42-Nb_4-S_60-O_25-ts_100,0,Tx28,42,28,2.5,10,6,4,588747.3095,0.5933167517002056,0.27513128306856294,0.070817342,0.000718255,1.0585422247015341,-0.029056923,0.029574076334611756,-0.059058623,3.161617733837829e-05,0.033298708,0.013992011,0.003694556,-1.80E-34
Tx28-L_42-Nb_4-S_60-O_30-ts_85,0,Tx28,42,28,3,8.5,6,4,555508.7064,0.6485828136805091,0.2516175595236082,0.048614518,0.000310622,1.1282775297610022,-0.102093018,0.019549679710735852,-0.045733462,3.063961483462663e-05,0.039196383,0.01406474,0.002832026,-1.40E-34
Tx28-L_42-Nb_4-S_60-O_30-ts_100,0,Tx28,42,28,3,10,6,4,588747.3095,0.6219481292512031,0.264224986,0.060785277,0.000634803,1.1252111235110045,-0.088852097,0.025504281,-0.061862584,3.0395474219346852e-05,0.033851191,0.0133625,0.003199924,-1.89E-34
Tx28-L_42-Nb_4-S_90-O_15-ts_85,0,Tx28,42,28,1.5,8.5,9,4,555508.7064,0.6746672335595509,0.24687830687810935,0.016784822609585966,-3.02E-05,0.9548488653266171,0.072439325,-0.016502853,-0.010784601,3.091427304013905e-05,0.041896701,0.012085949,0.000679176,-3.28E-35
Tx28-L_42-Nb_4-S_90-O_15-ts_100,0,Tx28,42,28,1.5,10,9,4,588747.3095,0.6518951719571504,0.2599038879438586,0.026449971655307637,9.554543931280149e-05,0.9544481956837603,0.076570301,-0.012922968,-0.018094686,3.341671445866723e-05,0.036388054,0.011544929,0.001105131,-5.51E-35
