model,girderName,L,D,w_oh,ts,S,Nb,n_bm1,n_bm2,n_bm3,n_bm4,n_r1,n_r2,n_r3,n_r4,sum_RY,d-G1,d-G2,d-G3,d-G4
Tx28-L_42-Nb_4-S_60-O_15-ts_85,Tx28,42.0,28.0,1.5,8.5,6.0,4.0,0.5540595238090805,0.2934206821615188,0.08009504913069934,0.0005202321162835975,0.92550548735045,0.08699351283475183,0.02659638613744152,-0.039094549269872,3.51562164055963e-05,0.037369679659605,0.0167300831526517,0.004556989762932,-1.193530268295866e-34
Tx28-L_42-Nb_4-S_60-O_15-ts_100,Tx28,42.0,28.0,1.5,10.0,6.0,4.0,0.534036564625423,0.29824884259235396,0.0912742110732452,0.0008894646400219641,0.9238534226183086,0.09314442661822905,0.03618508475164516,-0.053182094028975314,3.527828670968347e-05,0.032402615994215,0.0153375221416354,0.0047011533752083,-1.624839464216088e-34
Tx28-L_42-Nb_4-S_60-O_20-ts_85,Tx28,42.0,28.0,2.0,8.5,6.0,4.0,0.5860169595611335,0.2791875472408953,0.06951993575202299,0.0004484599395310093,0.9935684523801575,0.023006279354985313,0.02483706810358876,-0.04141107759018264,3.0334439045986983e-05,0.0378978438675403,0.0158155150711536,0.0039782226085662,-1.2636753682050414e-34
Tx28-L_42-Nb_4-S_60-O_20-ts_100,Tx28,42.0,28.0,2.0,10.0,6.0,4.0,0.5638020597123229,0.2865410997730134,0.08104270597121255,0.0008029980764000567,0.9916915922611114,0.03100124976746032,0.03352723330540472,-0.05621928478418121,3.515621639138544e-05,0.0327989384531974,0.0146514186635613,0.0041986443102359,-1.7167848185863582e-34
Tx28-L_42-Nb_4-S_60-O_25-ts_85,Tx28,42.0,28.0,2.5,8.5,6.0,4.0,0.6177043650788708,0.265168461828964,0.05897752503774571,0.000379073162467809,1.0609843749991512,-0.03960726783385968,0.02220893496557003,-0.043585176013730006,3.637691952462774e-05,0.0385209284722805,0.0149244731292128,0.0034000456798821,-1.3297658161644716e-34
Tx28-L_42-Nb_4-S_60-O_25-ts_100,Tx28,42.0,28.0,2.5,10.0,6.0,4.0,0.5933167517002056,0.27513128306856294,0.07081734221460699,0.0007182547063958728,1.0585422247015341,-0.02905692254926991,0.029574076334611756,-0.059058628627184896,3.161617733837829e-05,0.0332987084984779,0.013992010615766,0.0036945561878383,-1.803068055441008e-34
Tx28-L_42-Nb_4-S_60-O_30-ts_85,Tx28,42.0,28.0,3.0,8.5,6.0,4.0,0.6485828136805091,0.2516175595236082,0.04861451837675627,0.00031062216553263126,1.1282775297610022,-0.10209301757804332,0.019549679710735852,-0.04573346237905568,3.063961483462663e-05,0.0391963832080364,0.0140647403895854,0.002832026220858,-1.3950778434995928e-34
Tx28-L_42-Nb_4-S_60-O_30-ts_100,Tx28,42.0,28.0,3.0,10.0,6.0,4.0,0.6219481292512031,0.264224985827453,0.06078527730531796,0.0006348025321234529,1.1252111235110045,-0.08885209728415511,0.02550428118022513,-0.061862583705307644,3.0395474219346852e-05,0.0338511914014816,0.013362499885261,0.00319992355071,-1.8882582203026363e-34
Tx28-L_42-Nb_4-S_90-O_15-ts_85,Tx28,42.0,28.0,1.5,8.5,9.0,4.0,0.6746672335595509,0.24687830687810935,0.016784822609585966,-3.0188458847056348e-05,0.9548488653266171,0.07243932524175752,-0.016502852666932483,-0.010784602573931105,3.091427304013905e-05,0.0418967008590698,0.0120859490707516,0.0006791758933104,-3.280356748115309e-35
Tx28-L_42-Nb_4-S_90-O_15-ts_100,Tx28,42.0,28.0,1.5,10.0,9.0,4.0,0.6518951719571504,0.2599038879438586,0.026449971655307637,9.554543931280149e-05,0.9544481026778079,0.0765703008741947,-0.012922969273148142,-0.018094685872381357,3.341671445866723e-05,0.0363880544900894,0.0115449288859963,0.0011051312321797,-5.514684236117058e-35
Tx28-L_42-Nb_4-S_90-O_21-ts_85,Tx28,42.0,28.0,2.1666666666666665,8.5,9.0,4.0,0.7162592120175676,0.21612679516233652,0.008415942548887825,-5.935329861106363e-05,1.0208387276777549,0.003948508126391931,-0.014118733723947037,-0.010667739141546525,3.21044585831487e-05,0.0425825119018554,0.0104475123807787,0.0002820942027028,-3.2428964752606126e-35
Tx28-L_42-Nb_4-S_90-O_21-ts_100,Tx28,42.0,28.0,2.1666666666666665,10.0,9.0,4.0,0.690986300075033,0.23364129818575413,0.016852353788724232,4.382499527585307e-05,1.0218856956837064,0.008015103294729452,-0.01192390369232677,-0.017975984119219253,3.826900936587663e-05,0.0369490645825862,0.0102731119841337,0.0006944073247723,-5.475633487263275e-35
Tx28-L_42-Nb_4-S_90-O_28-ts_85,Tx28,42.0,28.0,2.8333333333333335,8.5,9.0,4.0,0.7573612528338611,0.1857634400981129,0.0003706853265391734,-8.679508315906226e-05,1.0866091889872258,-0.0640567510695172,-0.012078241984039813,-0.010473460606157916,3.088375545701183e-05,0.0434018783271312,0.0088377697393298,-3.7305156961966246e-35,-3.1834427490197806e-35
