model,girderName,radius,L,D,w_oh,ts,S,Nb,I,Kg,n_bm1,n_bm2,n_bm3,n_bm4,n_r1,n_r2,n_r3,n_r4,sum_RY,d-G1,d-G2,d-G3,d-G4
PG-1-L_60-Nb_4-S_60-O_10-ts_85-sk_0-R_300,PG-1,300,60,21.875,1,8.5,6,4,3212.29,216024.28,0.559,0.368,0.158,0,0.893,0.242,0.115,-0.22,1.808,0.501,0.309,0.141,0
PG-1-L_60-Nb_4-S_60-O_16-ts_85-sk_0-R_300,PG-1,300,60,21.875,1.666666667,8.5,6,4,3212.29,216024.28,0.586,0.369,0.15,0,0.964,0.196,0.117,-0.244,1.942,0.507,0.308,0.137,0
PG-1-L_60-Nb_4-S_60-O_23-ts_85-sk_0-R_300,PG-1,300,60,21.875,2.333333333,8.5,6,4,3212.29,216024.28,0.612,0.371,0.142,0,1.035,0.151,0.118,-0.269,2.075,0.515,0.307,0.133,0
PG-1-L_60-Nb_4-S_60-O_30-ts_85-sk_0-R_300,PG-1,300,60,21.875,3,8.5,6,4,3212.29,216024.28,0.637,0.373,0.134,0,1.107,0.106,0.118,-0.293,2.208,0.524,0.307,0.129,0
PG-1-L_60-Nb_4-S_90-O_10-ts_85-sk_0-R_300,PG-1,300,60,21.875,1,8.5,9,4,3212.29,216024.28,0.653,0.378,0.122,0,0.917,0.224,0.067,-0.162,2.708,0.55,0.292,0.101,0
PG-1-L_60-Nb_4-S_90-O_21-ts_85-sk_0-R_300,PG-1,300,60,21.875,2.166666667,8.5,9,4,3212.29,216024.28,0.696,0.375,0.107,0,1.015,0.153,0.063,-0.181,2.942,0.566,0.288,0.094,0
PG-1-L_60-Nb_4-S_90-O_33-ts_85-sk_0-R_300,PG-1,300,60,21.875,3.333333333,8.5,9,4,3212.29,216024.28,0.738,0.372,0.092,0,1.114,0.083,0.058,-0.2,3.175,0.585,0.285,0.087,0
PG-1-L_60-Nb_4-S_90-O_45-ts_85-sk_0-R_300,PG-1,300,60,21.875,4.5,8.5,9,4,3212.29,216024.28,0.779,0.371,0.078,0,1.213,0.012,0.052,-0.219,3.408,0.606,0.283,0.08,0
PG-1-L_60-Nb_4-S_120-O_10-ts_85-sk_0-R_300,PG-1,300,60,21.875,1,8.5,12,4,3212.29,216024.28,0.731,0.368,0.087,0,0.953,0.198,0.026,-0.117,3.608,0.601,0.271,0.07,0
PG-1-L_60-Nb_4-S_120-O_26-ts_85-sk_0-R_300,PG-1,300,60,21.875,2.666666667,8.5,12,4,3212.29,216024.28,0.793,0.354,0.066,0,1.073,0.106,0.017,-0.129,3.942,0.629,0.261,0.06,0
PG-1-L_60-Nb_4-S_120-O_43-ts_85-sk_0-R_300,PG-1,300,60,21.875,4.333333333,8.5,12,4,3212.29,216024.28,0.852,0.342,0.045,0,1.194,0.013,0.006,-0.141,4.275,0.661,0.253,0.05,0
PG-1-L_60-Nb_4-S_120-O_60-ts_85-sk_0-R_300,PG-1,300,60,21.875,6,8.5,12,4,3212.29,216024.28,0.91,0.331,0.025,0,1.315,-0.079,-0.005,-0.153,4.608,0.696,0.246,0.04,0
PG-2-L_60-Nb_4-S_60-O_10-ts_85-sk_0-R_300,PG-2,300,60,24.5,1,8.5,6,4,3656.13,230783.96,0.573,0.371,0.153,0,0.892,0.251,0.109,-0.22,1.808,0.471,0.288,0.128,0
PG-2-L_60-Nb_4-S_60-O_16-ts_85-sk_0-R_300,PG-2,300,60,24.5,1.666666667,8.5,6,4,3656.13,230783.96,0.6,0.373,0.145,0,0.962,0.206,0.11,-0.245,1.942,0.478,0.287,0.124,0
PG-2-L_60-Nb_4-S_60-O_23-ts_85-sk_0-R_300,PG-2,300,60,24.5,2.333333333,8.5,6,4,3656.13,230783.96,0.626,0.375,0.137,0,1.033,0.162,0.111,-0.27,2.075,0.486,0.287,0.121,0
PG-2-L_60-Nb_4-S_60-O_30-ts_85-sk_0-R_300,PG-2,300,60,24.5,3,8.5,6,4,3656.13,230783.96,0.651,0.377,0.129,0,1.104,0.118,0.11,-0.294,2.208,0.495,0.288,0.118,0
PG-2-L_60-Nb_4-S_90-O_10-ts_85-sk_0-R_300,PG-2,300,60,24.5,1,8.5,9,4,3656.13,230783.96,0.664,0.38,0.118,0,0.916,0.229,0.064,-0.163,2.708,0.516,0.272,0.092,0
PG-2-L_60-Nb_4-S_90-O_21-ts_85-sk_0-R_300,PG-2,300,60,24.5,2.166666667,8.5,9,4,3656.13,230783.96,0.708,0.376,0.103,0,1.013,0.16,0.06,-0.183,2.942,0.532,0.268,0.085,0
PG-2-L_60-Nb_4-S_90-O_33-ts_85-sk_0-R_300,PG-2,300,60,24.5,3.333333333,8.5,9,4,3656.13,230783.96,0.751,0.374,0.088,0,1.111,0.091,0.054,-0.202,3.175,0.551,0.266,0.079,0
PG-2-L_60-Nb_4-S_90-O_45-ts_85-sk_0-R_300,PG-2,300,60,24.5,4.5,8.5,9,4,3656.13,230783.96,0.793,0.372,0.074,0,1.21,0.021,0.048,-0.221,3.408,0.571,0.264,0.073,0
PG-2-L_60-Nb_4-S_120-O_10-ts_85-sk_0-R_300,PG-2,300,60,24.5,1,8.5,12,4,3656.13,230783.96,0.742,0.368,0.083,0,0.952,0.202,0.025,-0.118,3.608,0.564,0.252,0.064,0
PG-2-L_60-Nb_4-S_120-O_26-ts_85-sk_0-R_300,PG-2,300,60,24.5,2.666666667,8.5,12,4,3656.13,230783.96,0.804,0.353,0.062,0,1.071,0.11,0.016,-0.131,3.942,0.592,0.243,0.054,0
PG-2-L_60-Nb_4-S_120-O_43-ts_85-sk_0-R_300,PG-2,300,60,24.5,4.333333333,8.5,12,4,3656.13,230783.96,0.864,0.341,0.041,0,1.192,0.019,0.005,-0.143,4.275,0.623,0.235,0.045,0
PG-2-L_60-Nb_4-S_120-O_60-ts_85-sk_0-R_300,PG-2,300,60,24.5,6,8.5,12,4,3656.13,230783.96,0.924,0.329,0.021,0,1.313,-0.073,-0.006,-0.156,4.608,0.657,0.229,0.036,0
PG-3-L_60-Nb_4-S_60-O_10-ts_85-sk_0-R_300,PG-3,300,60,27.25,1,8.5,6,4,4898.44,268845.92,0.584,0.374,0.149,0,0.892,0.254,0.105,-0.219,1.808,0.414,0.252,0.109,0
PG-3-L_60-Nb_4-S_60-O_16-ts_85-sk_0-R_300,PG-3,300,60,27.25,1.666666667,8.5,6,4,4898.44,268845.92,0.612,0.376,0.141,0,0.962,0.211,0.104,-0.243,1.942,0.421,0.251,0.106,0
PG-3-L_60-Nb_4-S_60-O_23-ts_85-sk_0-R_300,PG-3,300,60,27.25,2.333333333,8.5,6,4,4898.44,268845.92,0.639,0.378,0.132,0,1.032,0.169,0.103,-0.267,2.075,0.429,0.251,0.103,0
PG-3-L_60-Nb_4-S_60-O_30-ts_85-sk_0-R_300,PG-3,300,60,27.25,3,8.5,6,4,4898.44,268845.92,0.665,0.38,0.124,0,1.103,0.126,0.101,-0.291,2.208,0.437,0.252,0.1,0
PG-3-L_60-Nb_4-S_90-O_10-ts_85-sk_0-R_300,PG-3,300,60,27.25,1,8.5,9,4,4898.44,268845.92,0.677,0.381,0.112,0,0.917,0.23,0.061,-0.161,2.708,0.454,0.237,0.077,0
PG-3-L_60-Nb_4-S_90-O_21-ts_85-sk_0-R_300,PG-3,300,60,27.25,2.166666667,8.5,9,4,4898.44,268845.92,0.722,0.377,0.097,0,1.013,0.163,0.055,-0.181,2.942,0.47,0.233,0.071,0
PG-3-L_60-Nb_4-S_90-O_33-ts_85-sk_0-R_300,PG-3,300,60,27.25,3.333333333,8.5,9,4,4898.44,268845.92,0.767,0.374,0.082,0,1.111,0.095,0.049,-0.2,3.175,0.487,0.231,0.066,0
